"id,profile_id,type,description,metadata,created_at"
"1,1,evidence_approved,Evidence approved: NeurIPS 2022 Outstanding Paper Award,""{""""evidenceId"""": 1}"",2026-04-17 15:53:25.698625+00"
"2,1,evidence_added,Added evidence: ICML 2023 Program Committee,""{""""evidenceId"""": 7}"",2026-04-17 15:53:25.698625+00"
"3,1,milestone_completed,Milestone completed: Complete Evidence Vault audit,""{""""milestoneId"""": 1}"",2026-04-17 15:53:25.698625+00"
"4,1,course_progress,Completed a lesson in Excellence Lab,""{""""courseId"""": 1, """"lessonId"""": 2}"",2026-04-17 15:53:25.698625+00"
"5,1,evidence_approved,""Evidence approved: Total Compensation: $680,000 (2023)"",""{""""evidenceId"""": 16}"",2026-04-17 15:53:25.698625+00"
"6,1,evidence_added,Added evidence: TechCrunch Interview on Neural Architecture Search,""{""""evidenceId"""": 6}"",2026-04-17 15:53:25.698625+00"
"34,48,prospect_conversion_audit,Prospect #16 converted to case by staff (Admin),""{""""profileId"""": 48, """"timestamp"""": """"2026-05-15T21:34:39.408Z"""", """"prospectId"""": 16, """"staffUserId"""": """"primary"""", """"staffUserName"""": """"Admin"""", """"profileCreated"""": true, """"credentialsEmailSent"""": true}"",2026-05-15 21:34:39.419167+00"
"35,49,prospect_conversion_audit,Prospect #22 converted to case by staff (Admin),""{""""profileId"""": 49, """"timestamp"""": """"2026-05-15T21:52:21.054Z"""", """"prospectId"""": 22, """"staffUserId"""": """"primary"""", """"staffUserName"""": """"Admin"""", """"profileCreated"""": true, """"credentialsEmailSent"""": true}"",2026-05-15 21:52:21.06439+00"
"36,49,case_setup_audit,Case #1 provisioned by staff (Admin),""{""""caseId"""": 1, """"product"""": """"both"""", """"visaPath"""": """"eb1a"""", """"profileId"""": 49, """"timestamp"""": """"2026-05-15T21:52:21.313Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 8, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-15 21:52:21.348738+00"
"37,34,case_setup_audit,Case #2 provisioned by staff (Admin),""{""""caseId"""": 2, """"product"""": """"both"""", """"visaPath"""": """"eb1a"""", """"profileId"""": 34, """"timestamp"""": """"2026-05-18T02:33:54.085Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 10, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-18 02:33:54.12455+00"
"38,35,case_setup_audit,Case #3 provisioned by staff (Admin),""{""""caseId"""": 3, """"product"""": """"both"""", """"visaPath"""": """"eb1a"""", """"profileId"""": 35, """"timestamp"""": """"2026-05-18T02:33:57.903Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 10, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-18 02:33:57.940494+00"
"39,36,case_setup_audit,Case #4 provisioned by staff (Admin),""{""""caseId"""": 4, """"product"""": """"both"""", """"visaPath"""": """"niw"""", """"profileId"""": 36, """"timestamp"""": """"2026-05-18T02:34:01.677Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 8, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-18 02:34:01.713118+00"
"40,37,case_setup_audit,Case #5 provisioned by staff (Admin),""{""""caseId"""": 5, """"product"""": """"both"""", """"visaPath"""": """"o1"""", """"profileId"""": 37, """"timestamp"""": """"2026-05-18T02:34:05.508Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 8, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-18 02:34:05.563366+00"
"41,38,case_setup_audit,Case #6 provisioned by staff (Admin),""{""""caseId"""": 6, """"product"""": """"both"""", """"visaPath"""": """"eb1a"""", """"profileId"""": 38, """"timestamp"""": """"2026-05-18T02:34:09.255Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 10, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-18 02:34:09.292053+00"
"42,51,prospect_conversion_audit,Prospect #23 converted to case by staff (Admin),""{""""profileId"""": 51, """"timestamp"""": """"2026-05-19T17:06:27.305Z"""", """"prospectId"""": 23, """"staffUserId"""": """"primary"""", """"staffUserName"""": """"Admin"""", """"profileCreated"""": true, """"credentialsEmailSent"""": true}"",2026-05-19 17:06:27.315734+00"
"43,51,case_setup_audit,Case #7 provisioned by staff (Admin),""{""""caseId"""": 7, """"product"""": """"both"""", """"visaPath"""": """"eb1a"""", """"profileId"""": 51, """"timestamp"""": """"2026-05-19T17:06:28.116Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 10, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-19 17:06:28.152488+00"
"44,52,prospect_conversion_audit,Prospect #24 converted to case by staff (Admin),""{""""profileId"""": 52, """"timestamp"""": """"2026-05-19T17:44:16.852Z"""", """"prospectId"""": 24, """"staffUserId"""": """"primary"""", """"staffUserName"""": """"Admin"""", """"profileCreated"""": true, """"credentialsEmailSent"""": true}"",2026-05-19 17:44:16.86149+00"
"45,52,case_setup_audit,Case #8 provisioned by staff (Admin),""{""""caseId"""": 8, """"product"""": """"both"""", """"visaPath"""": """"eb1a"""", """"profileId"""": 52, """"timestamp"""": """"2026-05-19T17:44:17.168Z"""", """"staffUserId"""": """"primary"""", """"criteriaCount"""": 10, """"staffUserName"""": """"Admin"""", """"driveSyncStatus"""": """"pending"""", """"caseActivationEmailStatus"""": """"pending""""}"",2026-05-19 17:44:17.200261+00"
"46,53,prospect_conversion_audit,Prospect #25 converted to case by staff (Admin),""{""""profileId"""": 53, """"timestamp"""": """"2026-05-19T17:49:53.311Z"""", """"prospectId"""": 25, """"staffUserId"""": """"primary"""", """"staffUserName"""": """"Admin"""", """"profileCreated"""": true, """"credentialsEmailSent"""": true}"",2026-05-19 17:49:53.322016+00"
