"id,profile_id,visa_path,selected_criteria,exhibit_numbering_style,status,created_by_staff,created_at,updated_at,drive_sync_status,drive_sync_error,product,case_activation_email_sent_at,case_activation_email_status"
"9,53,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-10"""", """"EB1A-07"""", """"EB1A-08"""", """"EB1A-09""""]"",numeric,setup,staff,2026-05-19 17:49:53.461199+00,2026-05-19 17:50:12.386+00,synced,,both,2026-05-19 17:49:56.018+00,sent"
"1,49,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-07"""", """"EB1A-08""""]"",numeric,setup,staff,2026-05-15 21:52:21.247743+00,2026-05-15 21:52:43.955+00,synced,,both,2026-05-15 21:52:26.355+00,sent"
"10,54,niw,""[""""NIW-01"""", """"NIW-02"""", """"NIW-03"""", """"NIW-04"""", """"NIW-05"""", """"NIW-06"""", """"NIW-07"""", """"NIW-08""""]"",numeric,setup,staff,2026-05-19 17:54:10.093006+00,2026-05-19 17:54:19.593+00,synced,,both,2026-05-19 17:54:12.729+00,sent"
"11,55,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-10"""", """"EB1A-07"""", """"EB1A-08"""", """"EB1A-09""""]"",numeric,setup,staff,2026-06-03 02:32:53.661752+00,2026-06-03 02:33:11.356+00,synced,,both,2026-06-03 02:32:55.508+00,sent"
"4,36,niw,""[""""NIW-01"""", """"NIW-02"""", """"NIW-03"""", """"NIW-04"""", """"NIW-05"""", """"NIW-06"""", """"NIW-07"""", """"NIW-08""""]"",numeric,setup,staff,2026-05-18 02:34:01.49851+00,2026-05-18 02:35:10.521+00,synced,,both,2026-05-18 02:34:05.222+00,sent"
"3,35,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-07"""", """"EB1A-08"""", """"EB1A-09"""", """"EB1A-10""""]"",numeric,setup,staff,2026-05-18 02:33:57.737005+00,2026-05-18 02:35:17.159+00,synced,,both,2026-05-18 02:34:01.741+00,sent"
"2,34,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-07"""", """"EB1A-08"""", """"EB1A-09"""", """"EB1A-10""""]"",numeric,setup,staff,2026-05-18 02:33:53.890193+00,2026-05-18 02:35:19.465+00,synced,,both,2026-05-18 02:34:01.725+00,sent"
"5,37,o1,""[""""O1A-01"""", """"O1A-02"""", """"O1A-03"""", """"O1A-04"""", """"O1A-05"""", """"O1A-06"""", """"O1A-07"""", """"O1A-08""""]"",numeric,setup,staff,2026-05-18 02:34:05.294896+00,2026-05-18 02:35:21.55+00,synced,,both,2026-05-18 02:34:07.822+00,sent"
"6,38,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-07"""", """"EB1A-08"""", """"EB1A-09"""", """"EB1A-10""""]"",numeric,setup,staff,2026-05-18 02:34:09.098605+00,2026-05-18 02:35:24.513+00,synced,,both,2026-05-18 02:34:22.523+00,sent"
"7,51,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-10"""", """"EB1A-07"""", """"EB1A-08"""", """"EB1A-09""""]"",numeric,setup,staff,2026-05-19 17:06:27.948489+00,2026-05-19 17:06:47.141+00,synced,,both,2026-05-19 17:06:30.601+00,sent"
"8,52,eb1a,""[""""EB1A-01"""", """"EB1A-02"""", """"EB1A-03"""", """"EB1A-04"""", """"EB1A-05"""", """"EB1A-06"""", """"EB1A-10"""", """"EB1A-07"""", """"EB1A-08"""", """"EB1A-09""""]"",numeric,setup,staff,2026-05-19 17:44:17.00456+00,2026-05-19 17:44:34.539+00,synced,,both,2026-05-19 17:44:21.726+00,sent"
