"id,case_id,old_channel_id,drive_folder_id,error_message,failed_at"
"1,7,e9696f6e-e780-426c-ac90-6e18167e7214,1aMOAEI_GtJXJdXtPrhdWkO2IunWmLx-U,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:26.295002+00"
"2,7,45ef67c3-3cb8-4d1f-b645-6f401be87129,1Hd2WoJNdgWROnRR7q3nyBQQOPT2DseT_,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:26.921922+00"
"3,7,b4167896-e514-45e7-960a-5b00b9604eb3,1RwW6IzgRGaxEJIWKmbHX__uZX2Bs8gdm,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:27.722164+00"
"4,8,903b9881-41bc-4500-882b-e3eb4cab7aea,1yTldmRyY8vx4mWe2SlENgdOv9HSGBitm,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:28.421902+00"
"5,8,52289686-c889-4f4b-ac25-7d3b8fb2f4a6,1kQqZa3-68tY6MRvpTS0dw4QzxQyRTBT-,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:29.722756+00"
"6,7,f67250b4-5dd2-416f-adab-f48e56f56674,1-cL-eDyN7ffeyyxEnUlCenq8ZM2ow8Hc,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:30.428097+00"
"7,8,c3db946e-eb7c-4032-8b7c-98daea7a8d1d,1CPbtL1HffDur9c1CrEayAaqxZNy-3gio,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:30.721646+00"
"8,8,a2742d2c-f268-41d7-820e-e1fde7c686a8,1AiVWuSDxNURZJxTaTp8PCfVxIgRL31RO,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:31.52183+00"
"9,7,b55be7da-5bec-406b-aabb-f21721367e8a,1-f1A-Gm9hm5t-jBW8Q-fky-FhPmasaiS,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:32.026439+00"
"10,8,e1313aca-5399-4d7d-852f-ba38da8e5dfe,153vQRVlAqRDq-QUI353DcVhU0K6pVAmt,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:32.221387+00"
"11,8,9c7196ed-2a19-4bb4-a61e-85a37da15b9b,10c5QHwyxi8oZ_VPuqGf2STDoSdm-dD7E,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:33.121333+00"
"12,7,cf5709a2-78de-4e7a-a7db-70180ed6c430,1KxDr1c1WHVkB0e5R7nR9irpmHHltEyzL,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:33.627697+00"
"13,8,29393aab-85a5-4dc9-b495-b8e3322ba553,1ZqQf705CmkysY9Y8lCpw9CfzGMmvYRYS,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:34.420944+00"
"14,7,33c5b481-0895-41e3-87e6-361e576525b5,1KZ8bLj2HexXAlnhxFQJ-EXRsgu86tl2Y,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:35.027675+00"
"15,8,ae52d143-ddee-4318-9414-02ca87f6d2a0,1Wtoe48_Unig414jPXRgSCdE_wUL4OV0K,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:35.221528+00"
"16,8,e0bfeda7-1805-4790-9789-78aef40d865a,1UkjBCmb78R_UFmb04tRDFiYG4GUGRxHz,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:35.921154+00"
"17,7,102c14ec-cbb7-422b-bbcb-e322883c56f5,1GgCikz-cPalMeQjQIzqcP9p-XJZi_a_S,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:36.428212+00"
"18,8,cfcc4ee1-f64f-45e5-b50b-782b67e37fac,1ROmUBqXEFtvXw04NIAx-DEwJ_9jHEHCT,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:37.221245+00"
"19,7,7165860f-8ff4-42aa-a7f0-0487152cc546,1s0oyme60P4L7_-mD6Y5GxSGp6VOHXh3e,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:38.627647+00"
"20,8,6b7309ad-1ed4-4f8b-b607-7a033dce86e4,17VLI_2Waee8wiveFW6LzoAm8kVsk4qsb,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:39.121506+00"
"21,7,efb3ba83-a642-446f-8ffa-6dc846508231,1n3Bq1gbPvwK1fYN0vJYJskCYLlkok5vC,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:39.727482+00"
"22,8,a614f38b-e545-49fa-8c93-cd0b0f9e2439,1jMSIwpMoihX_9fTX1laCqDkSKakI07yh,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:40.321664+00"
"23,8,e0360959-6bb7-4cb9-a08d-4301911c742a,1Z33aBq-_9PTq1QLHNheqCuR0CmXAIs8a,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:41.121703+00"
"24,7,00494e00-b0dc-426d-a56d-30f04e10fb0f,1G9eYPkn2uHK65rleapc1DY3bSgFT5ZWB,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:41.427137+00"
"25,8,336a338f-2754-4263-a577-c1cb80f47d20,1OBbClg_2dMcgc6HhQimpGRCKRs40_z9P,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:42.121965+00"
"26,8,01cb2661-3150-41f7-bfa5-d8e3c66ab497,15QYpD4Kb_iGu9fWC-cv9lfyDBZnTikL6,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:42.821947+00"
"27,7,6f938c5e-a6b4-409d-b537-ecdb4d4e7cac,1Y2an0UELMe546kUYnSwfainLV0t7tibf,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:43.227983+00"
"28,8,e3090460-6780-4f5e-af19-81609a0e47b3,1zLBCOt_FeYvJ7CgS0ZoUE06fM4L2pgRn,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:43.822117+00"
"29,7,974980b1-06bc-42d4-8a61-bf94147314a2,1DhB1EpPU19gVx-52TYt7hqLOBCWkyqOy,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:44.627426+00"
"30,8,a24ab260-346a-47a4-a024-4dd6d4d4b046,18adHmdIC3KXjkPEIZ5b90QgteHWdRLTW,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:44.821878+00"
"31,7,6195068e-aa56-4f11-976a-4e2763b88c9a,17Wa1xulqmpCyLZZaYzgU0euMHS816DRU,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:45.627583+00"
"32,8,aba69511-dca2-479d-a674-bdd74314893f,1xAOJEOMl_iMPqJ0Ytz6GVkA7MFZioFMo,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:45.822046+00"
"33,8,6a7b4cfd-b9ce-4324-a775-8d5a3ed9e462,18s3FMi-WTkNwrRH4fk8n2uVlW87PVQjh,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:46.52203+00"
"34,7,0b34239e-6034-4018-8373-fbcfdc60ef31,1ZVhPsV42n2soqhGLs2eQvRo8CS_9DYeH,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:47.42603+00"
"35,7,401f82b5-b306-4a15-8f15-31aa0fd49ca2,1EuYAO1QV96gRNnEFnufzh0wMne_O7HoV,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:48.427795+00"
"36,7,be97d4d9-c085-48f5-a018-0c683839f69d,1X9GADIF-9K6FbYI6fXTkxT3OFZD4Q-ri,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:49.427181+00"
"37,7,d7688ed5-379b-4fa3-aabf-1a71826ae56d,1-lfDzZ7tfuMtJHmmsO-rsvVOWCvMKYVj,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:50.627404+00"
"38,7,97e4a302-a73a-4706-be72-c78d8b88f6b5,1hm3G6uPp57r69rgT4XeIQa2iF6p87u1L,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:52.627221+00"
"39,7,8e774391-9d14-434e-ab94-5c206647d5fa,1lee3z1qJ9bcfpTzZk58TlOaCTVNtCIY9,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:54.427707+00"
"40,7,76dc6f2e-1171-4a5d-a9e8-c7f8064d20ca,1YctCUZScSP1JkkpCr6fxlpYMd-Z9dq8x,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:55.627966+00"
"41,7,afe88930-aa9c-46d3-b83f-a05c462db323,1-b6RGtQopT0zR8h8vbsm6NomfB8ijF8R,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:02:58.727732+00"
"42,7,a980074a-3654-4a93-8e2f-2488df5a18a3,10-u4Gd8gYY8zydSrCvH2ToiQElhTZmgZ,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:00.027391+00"
"43,7,3263ef39-ed76-43d9-9f77-1d60552c445f,1tY4MKh4x_lYUAkza3FfqpfEkZ2KVzaJo,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:01.227911+00"
"44,7,e9bf6b42-63be-41f7-9a40-cb2dd2976e6b,1qYCGNrBFkJcJ1QtnItIjcJz1Zc9Ea3OM,Rate limit exceeded for creating file subscriptions.,2026-05-30 15:03:02.827535+00"
