"id,name,description,visa_type,uscis_code,required_minimum,created_at"
"1,Awards,Receipt of nationally or internationally recognized prizes or awards for excellence in the field,eb1a,8 CFR 204.5(h)(3)(i),3,2026-04-17 15:52:46.070819+00"
"2,Membership,Membership in associations that require outstanding achievement of their members,eb1a,8 CFR 204.5(h)(3)(ii),2,2026-04-17 15:52:46.070819+00"
"3,Published Material,Published material about the alien in professional or major trade publications,eb1a,8 CFR 204.5(h)(3)(iii),3,2026-04-17 15:52:46.070819+00"
"4,Judging,Participation as a judge of the work of others in the same or allied field,eb1a,8 CFR 204.5(h)(3)(iv),5,2026-04-17 15:52:46.070819+00"
"5,Original Contributions,Original scientific or scholarly contributions of major significance in the field,eb1a,8 CFR 204.5(h)(3)(v),3,2026-04-17 15:52:46.070819+00"
"6,Scholarly Articles,""Authorship of scholarly articles in the field, in professional or major trade publications"",eb1a,8 CFR 204.5(h)(3)(vi),5,2026-04-17 15:52:46.070819+00"
"7,Critical Role,Performance of a leading or critical role for organizations with a distinguished reputation,eb1a,8 CFR 204.5(h)(3)(viii),2,2026-04-17 15:52:46.070819+00"
"8,High Salary,Command of a high salary or significantly high remuneration for services,eb1a,8 CFR 204.5(h)(3)(ix),2,2026-04-17 15:52:46.070819+00"
"9,Substantial Merit,The proposed endeavor has substantial merit and national importance,niw,""USCIS Policy Manual Vol. 6, Part F, Ch. 5"",3,2026-04-17 15:52:50.196288+00"
"10,Well Positioned,The applicant is well positioned to advance the proposed endeavor,niw,""USCIS Policy Manual Vol. 6, Part F, Ch. 5"",3,2026-04-17 15:52:50.196288+00"
"11,National Interest,It would be beneficial to the United States to waive the job offer requirement,niw,""USCIS Policy Manual Vol. 6, Part F, Ch. 5"",3,2026-04-17 15:52:50.196288+00"
"12,Critical Employment,Critical or essential capacity to an organization with a distinguished reputation,o1,8 CFR 214.2(o)(3)(iv)(A)(3),2,2026-04-17 15:52:53.935354+00"
"13,High Salary O1,Command of a high salary or will command a high salary,o1,8 CFR 214.2(o)(3)(iv)(A)(6),2,2026-04-17 15:52:53.935354+00"
"14,Extraordinary Recognition,Receipt of nationally or internationally recognized prizes or awards,o1,8 CFR 214.2(o)(3)(iv)(A)(1),3,2026-04-17 15:52:53.935354+00"
