"id,case_setup_id,profile_id,criteria_id,criteria_code,criteria_name,exhibit_number,evidence_item_ids,status,generation_job_id,published_to_client,staff_approved_by,staff_approved_at,regeneration_count,created_at,drive_file_id,drive_url,drive_uploaded_at,document_type"
"1,1,49,EB1A-01,01,Awards and prizes,1,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"2,1,49,EB1A-02,02,Membership,2,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"3,1,49,EB1A-03,03,Press and media,3,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"4,1,49,EB1A-04,04,Judging others,4,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"5,1,49,EB1A-05,05,Original contributions,5,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"6,1,49,EB1A-06,06,Scholarly articles,6,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"7,1,49,EB1A-07,07,Critical role,7,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"8,1,49,EB1A-08,08,High salary,8,[],not_started,,f,,,0,2026-05-15 21:52:21.272849+00,,,,criteria_exhibit"
"9,2,34,EB1A-01,01,Awards and prizes,1,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"10,2,34,EB1A-02,02,Membership,2,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"11,2,34,EB1A-03,03,Press and media,3,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"12,2,34,EB1A-04,04,Judging others,4,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"14,2,34,EB1A-06,06,Scholarly articles,6,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"15,2,34,EB1A-07,07,Critical role,7,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"16,2,34,EB1A-08,08,High salary,8,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"17,2,34,EB1A-09,09,Commercial success,9,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"18,2,34,EB1A-10,10,Exhibitions,10,[],not_started,,f,,,0,2026-05-18 02:33:53.928436+00,,,,criteria_exhibit"
"19,3,35,EB1A-01,01,Awards and prizes,1,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
"20,3,35,EB1A-02,02,Membership,2,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
"21,3,35,EB1A-03,03,Press and media,3,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
"22,3,35,EB1A-04,04,Judging others,4,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
"23,3,35,EB1A-05,05,Original contributions,5,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
"24,3,35,EB1A-06,06,Scholarly articles,6,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
"25,3,35,EB1A-07,07,Critical role,7,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
"26,3,35,EB1A-08,08,High salary,8,[],not_started,,f,,,0,2026-05-18 02:33:57.763347+00,,,,criteria_exhibit"
