"id,case_setup_id,profile_id,exhibit_index_job_id,exhibit_index_status,cover_letter_job_id,cover_letter_status,o1_itinerary_job_id,o1_itinerary_status,package_published_at,package_published_by,created_at,cover_letter_drive_file_id,cover_letter_drive_url,personal_declaration_job_id,personal_declaration_status,personal_declaration_drive_file_id,personal_declaration_drive_url,field_brief_job_id,field_brief_status,field_brief_drive_file_id,field_brief_drive_url,reco_templates_job_id,reco_templates_status,petition_readiness"
"1,1,49,,not_started,,not_started,,not_started,,,2026-05-15 21:52:21.297573+00,,,,not_started,,,,not_started,,,,not_started,10"
"3,3,35,,not_started,,not_started,,not_started,,,2026-05-18 02:33:57.792948+00,,,,not_started,,,,not_started,,,,not_started,10"
"5,5,37,,not_started,,not_started,,not_started,,,2026-05-18 02:34:05.391684+00,,,,not_started,,,,not_started,,,,not_started,10"
"4,4,36,,not_started,,not_started,,not_started,,,2026-05-18 02:34:01.568923+00,,,,not_started,,,,not_started,,,,not_started,10"
"6,6,38,,not_started,,not_started,,not_started,,,2026-05-18 02:34:09.148716+00,,,,not_started,,,,not_started,,,,not_started,10"
"2,2,34,,not_started,3,draft,,not_started,,,2026-05-18 02:33:53.958785+00,1vvafs2dmbNef4mF_WLGWVqOpcvMxK3aq,https://drive.google.com/file/d/1vvafs2dmbNef4mF_WLGWVqOpcvMxK3aq/view?usp=drivesdk,,not_started,,,,not_started,,,,not_started,16"
"7,7,51,,not_started,,not_started,,not_started,,,2026-05-19 17:06:28.009381+00,,,,not_started,,,,not_started,,,,not_started,0"
"8,8,52,,not_started,,not_started,,not_started,,,2026-05-19 17:44:17.050891+00,,,,not_started,,,,not_started,,,,not_started,0"
"9,9,53,,not_started,,not_started,,not_started,,,2026-05-19 17:49:53.516565+00,,,,not_started,,,,not_started,,,,not_started,0"
"10,10,54,,not_started,,not_started,,not_started,,,2026-05-19 17:54:10.140949+00,,,,not_started,,,,not_started,,,,not_started,0"
"11,11,55,,not_started,,not_started,,not_started,,,2026-06-03 02:32:53.735816+00,,,,not_started,,,,not_started,,,,not_started,0"
